feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
-0.6721638,0.8839292,1.1120414,-0.9716362,-0.4424644,-0.92906046,-0.24311027,0.04802465,-1.4618562,0.95004743,-0.8326448,0.048726246,0.027103703,-0.48152423,0.5139349,-0.98610973,0.13885823,-0.13737926,0.16124065,0.38349155,3
-1.2978207,1.1804131,0.079708576,-0.057194427,-0.7536216,0.60887444,-0.45774075,-1.1113726,-0.9033075,-0.7566974,-0.90790695,0.7133376,0.989491,-0.14002946,0.5773381,0.23976606,-0.37672028,0.21743017,-1.0383137,0.24980542,2
1.1200026,1.0193952,0.92949665,0.994895,0.6868533,-2.5964274,0.1319847,-0.45989865,0.3524841,-1.3167523,-0.61834174,0.7671435,0.7371022,-0.3151698,1.043664,0.7535539,-1.1354923,0.28508192,1.7672346,-0.63793355,1
-0.7978019,-0.22582474,-1.1161753,-1.5255119,1.1492673,-0.74891055,0.115537375,-0.117606446,0.56364304,0.76907474,1.4176863,-0.7731541,1.1769179,1.003408,-0.6453985,1.3087475,0.8594334,-0.18563049,1.2619332,0.68960136,2
-1.9588197,0.69375503,-1.7846559,0.104110874,0.08931955,-0.05016609,-0.0063972967,-0.0010046731,-1.2000997,1.5516952,0.011291359,-1.4355842,0.7646007,0.6887543,0.81031334,1.2299118,1.7071499,0.8656828,-0.02821403,0.2893248,1
-2.2609725,1.0438111,0.6191866,1.3785663,0.38738686,-0.64414257,0.13422643,0.2390488,-0.84873736,-0.33155566,0.7759578,-0.64841986,1.0398451,0.9064933,0.5550571,-0.46577278,-0.8962927,-1.0799692,1.2992657,-0.492875,0
-0.8208451,-0.9016119,0.43413827,0.57318455,1.8736713,0.6400365,-0.19896995,2.2025144,-0.6074389,2.2192924,0.500369,0.55765826,1.0060185,-0.571508,-2.2544084,1.5430917,1.137753,-0.19475114,0.062381353,0.30106091,2
0.3004401,-1.6184298,0.76386595,1.6289994,-1.4970278,1.2023348,-0.8225708,1.4755851,1.5100584,0.21913575,0.6403343,-0.22431974,-1.4330001,2.2406626,-0.3212885,-1.8161181,-0.5357144,-0.5811867,0.8163016,0.48866954,1
0.031598005,0.8205268,-1.6949954,-1.7161394,-0.8711568,1.1168373,0.6485193,-0.79863304,1.1796037,0.7984697,0.10876529,0.90413004,0.38807198,-0.14404431,-0.76843643,1.5121208,-0.3363093,0.51066715,-1.0441893,0.39198294,3
0.46005547,-2.0109353,-1.0449575,-0.4843607,0.54863465,-1.9477711,1.0309732,-0.67610973,1.127637,0.5721269,1.0297699,-0.08353984,1.4607959,-1.3899584,0.9621848,-0.90152216,-1.1869261,0.35594627,0.44360605,0.3824616,2
0.40887037,0.1762969,-0.063511595,-1.0707802,0.7915159,-1.825701,0.8076266,1.1752964,2.384721,0.90246904,-0.14940631,-0.53418124,1.0794904,-1.033134,-1.0235193,-1.0942156,2.2294836,1.6119088,-0.26100647,0.01010631,2
-0.37127963,0.396698,1.1088253,1.0727974,0.18990834,-0.5356083,0.19436751,-0.46012294,0.43084985,-1.0177292,1.3454663,-0.8312747,-1.194194,-0.31954685,1.8020376,1.2008194,-0.048406508,1.834021,-0.7520687,-0.44678992,3
-0.16232502,-0.030306807,0.65588313,0.21016863,-1.1441941,-1.3714958,-0.1410441,-2.212392,0.033704054,0.12429581,0.71284676,1.7000777,-0.7172752,-1.4347191,0.17012984,0.9599733,-1.0610406,-0.14963771,0.23065527,1.4070356,2
-0.11059602,0.34851354,-0.5148204,-1.8726302,0.11066725,0.9523576,-0.9265717,0.3897701,-1.312367,0.9340504,-1.6875778,1.9573485,0.5508343,2.0866792,-0.052284546,0.8323536,0.7112727,0.13222966,-0.19353454,-0.5501512,0
-0.06715707,-1.4212031,0.23344989,-1.4249638,0.7239734,2.0024688,-0.06954993,-0.57363886,0.80754995,0.8413267,-0.94624704,-0.038605187,1.0366281,-0.5758078,-0.02133056,-0.44027713,0.572408,0.25446343,-0.56842726,0.20807283,0
-1.8581477,1.1325216,1.2905332,0.0703028,0.37546638,-0.4954403,-0.16351503,-2.135918,1.5609863,0.47036737,-0.17898673,-1.0624894,-0.49335855,-0.18845111,0.45292234,-0.7070639,0.4599433,-0.16956614,-0.29332903,1.7353044,3
-0.10608169,0.7052329,-1.0113078,-1.6484622,-0.20964307,0.5031137,-0.27728957,0.29219756,-0.9495946,-0.6519663,0.33484647,0.07601736,1.2878008,-0.06394798,-0.09922836,0.19948281,0.3505217,0.5505766,-0.14872514,-0.6704001,1
0.7081064,-1.3008665,0.8845685,-0.21276465,0.6264688,1.534469,1.5365864,-0.30353123,-1.3811582,2.336346,-4.1409836,0.9803617,0.78713477,0.22232607,-0.37381235,-0.6752918,-0.86426467,-0.36952868,0.2534304,-1.2442085,1
0.04267538,-0.3350157,-0.99218595,-0.13004525,0.854481,0.07449642,-1.4350945,-1.7327592,-0.27567536,1.1135439,-0.4361762,-0.108882636,0.23620622,-0.39656773,0.62785476,-0.57409304,-0.65557677,0.8697169,0.6825342,0.9718067,1
0.39742386,-0.02044612,0.502904,0.20311505,-0.67430204,-1.143116,0.81443894,2.4381585,-0.035484876,-0.88312703,0.67213595,0.18636481,-0.6158288,-2.0277789,-0.96337235,-1.0063379,0.9212441,-1.3749558,0.73734415,-0.15653293,3
-1.4214084,0.30058166,-0.971903,0.57045805,0.73571587,0.6799524,0.60821015,-0.6774801,0.06215191,0.77247334,1.3861794,-0.72685736,0.68594867,-0.25514302,0.15524594,2.2882879,-1.3581492,1.4719884,-0.016946608,1.2884234,0
0.07948836,-0.22423457,0.9108015,-0.16748248,-0.083004884,-1.7073616,-1.1264054,-1.3629235,-0.97879875,0.98776656,0.261791,-0.050809566,1.6391674,-0.16277504,-0.101740114,0.58944696,0.7510846,0.48418847,-0.81085473,-1.7826414,1
0.14654721,0.5353037,0.22103913,-0.7263159,1.1769267,0.9355074,0.6981985,-0.27396742,-1.3478912,0.4881986,-0.6727368,-1.1455144,0.17100291,0.62568575,-0.27582738,0.50770515,-0.8552325,-1.8680115,-0.07326794,-0.49350208,2
